method,maze2d-umaze,maze2d-medium,maze2d-large,antmaze-umaze,antmaze-umaze-diverse,antmaze-medium-play,antmaze-medium-diverse,antmaze-large-play,antmaze-large-diverse,halfcheetah-random,hopper-random,walker2d-random,halfcheetah-medium,hopper-medium,walker2d-medium,halfcheetah-medium-replay,hopper-medium-replay,walker2d-medium-replay,halfcheetah-medium-expert,hopper-medium-expert,walker2d-medium-expert,kitchen-complete,kitchen-partial,kitchen-mixed,pen-human,hammer-human,door-human,relocate-human,pen-cloned,hammer-cloned,door-cloned,relocate-cloned,pen-expert,hammer-expert,door-expert,relocate-expert,flow-ring-controller,flow-ring-random,flow-merge-controller,flow-merge-random,carla-lane,carla-town
SAC,62.7,21.3,2.7,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.6,0.0,21.6,0.2,-0.2,-0.2,21.6,0.2,-0.2,-0.2,21.6,0.2,-0.2,-0.2,100.7,100.7,121.5,121.5,-0.8,1.4
SAC-off,88.2,26.1,-1.9,0.0,0.0,0.0,0.0,0.0,0.0,30.5,11.3,4.1,-4.3,0.9,0.8,-2.4,1.9,3.5,1.8,-0.1,1.6,15.0,0.0,2.5,6.3,0.5,3.9,0.0,23.5,0.2,0.0,-0.2,6.1,25.2,7.5,-0.3,9.2,70.0,111.6,-40.1,0.1,-1.8
BC,3.8,30.3,5.0,54.6,45.6,0.0,0.0,0.0,0.0,2.3,4.8,1.7,42.6,52.9,75.3,36.6,18.1,26.0,55.2,52.5,107.5,65.0,38.0,51.5,63.9,1.2,2,0.1,37,0.6,0.0,-0.3,85.1,125.6,34.9,101.3,-57.0,94.9,114.1,-17.1,31.8,-1.8
10%BC,---,---,---,60.0,46.5,42.1,37.2,28.0,34.3,2.0,4.1,1.7,42.5,56.9,75.0,40.6,75.9,62.5,92.9,110.9,109.0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
BEAR,3.4,29.0,4.6,73.0,61.0,0.0,8.0,0.0,0.0,25.1,11.4,7.3,41.7,59.1,52.1,38.6,19.2,33.7,53.4,40.1,96.3,0.0,13.1,47.2,-1.0,0.3,-0.3,-0.3,26.5,0.3,-0.1,-0.3,105.9,127.3,103.4,98.6,62.7,103.5,150.4,-20.6,-0.2,-2.7
BRACp,4.7,32.4,10.4,50.0,40.0,0.0,0.0,0.0,0.0,24.1,11.0,-0.2,43.8,77.5,32.7,45.4,-0.3,0.6,44.2,76.9,1.9,0.0,0.0,0.0,8.1,0.3,-0.3,-0.3,1.6,0.3,-0.1,-0.3,-3.5,0.3,-0.3,-0.3,-12.3,95.7,129.8,146.2,18.2,-4.6
BRACv,-16.0,33.8,40.6,70.0,70.0,0.0,0.0,0.0,0.0,31.2,12.2,1.9,46.3,81.1,31.1,47.7,0.9,0.6,41.9,81.6,0.8,0.0,0.0,0.0,0.6,0.2,-0.3,-0.3,-2.5,0.3,-0.1,-0.3,-3.0,0.3,-0.3,-0.4,-91.2,78.6,143.9,27.3,19.6,-2.6
AWR,1.0,7.6,23.7,56.0,70.3,0.0,0.0,0.0,0.0,2.5,10.2,1.5,37.4,17.4,35.9,40.3,15.5,28.4,52.7,53.8,27.1,0.0,15.4,10.6,12.3,1.2,0.4,-0.0,28.0,0.4,0.0,-0.2,111.0,39.0,102.9,91.5,75.2,80.4,152.7,99.6,-0.4,1.9
BCQ,12.8,8.3,6.2,78.9,55.0,0.0,0.0,6.7,2.2,2.2,10.6,4.9,40.7,53.1,54.5,38.2,15.0,33.1,64.7,57.5,110.9,8.1,18.9,8.1,68.9,0.5,-0.0,-0.1,44.0,0.4,0.0,-0.3,114.9,107.2,99.0,41.6,76.2,94.6,114.8,28.2,-0.1,1.9
AlgaeDICE,-15.7,10.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.9,0.5,-2.2,0.3,1.2,-2.1,0.6,1.1,-0.8,0.4,1.1,0.0,0.0,2.5,-3.3,0.3,-0.0,-0.1,-2.9,0.3,0.0,-0.3,-3.5,0.3,0.0,-0.1,15.2,83.6,196.4,4.7,-1.2,-11.2
DT,---,---,---,59.2,53.0,0.0,0.0,0.0,0.0,2.2,7.5,2.0,42.6,67.6,74.0,36.6,82.7,66.6,86.8,107.6,108.1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
TT,---,---,---,100.0,---,93.3,100.0,66.7,60.0,---,---,---,46.9,61.1,79.0,41.9,91.5,82.6,95.0,110.0,101.9,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
AWAC,---,---,---,56.7,49.3,0.0,0.7,0.0,1.0,---,---,---,43.5,57.0,72.4,40.5,37.2,27.0,42.8,55.8,74.5,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
ORL,---,---,---,64.3,60.7,0.3,0.0,0.0,0.0,6.9,7.8,6.1,55.6,83.3,85.6,42.4,71.0,71.6,93.5,102.1,110.9,---,---,---,---,---,---,---,60.0,2.1,0.4,-0.1,---,---,---,---,---,---,---,---,---,---
TDBC,---,---,---,78.6,71.4,10.6,3.0,0.2,0.0,11.0,8.5,1.6,48.3,59.3,83.7,44.6,60.9,81.8,90.7,98.0,110.1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
CQL,5.7,5.0,12.5,74.0,84.0,61.2,53.7,15.8,14.9,18.6,9.3,2.5,49.1,64.6,82.9,47.3,97.8,86.1,85.8,102.0,109.5,43.8,49.8,51.0,37.5,4.4,9.9,0.2,39.2,2.1,0.4,-0.1,107.0,86.7,101.5,95.0,52.0,87.9,157.2,40.6,20.9,-2.6
